Region/Country/Area,,Year,Series,Capital City,Capital City footnote,Value,Footnotes,Source,
8,Albania,2015,Rural population (percent growth rate per annum),,,-2.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
8,Albania,2015,Capital city population (thousands),Tirana,,449,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
8,Albania,2015,Capital city population (as a percentage of total population),Tirana,,15.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
8,Albania,2015,Capital city population (as a percentage of total urban population),Tirana,,26.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
8,Albania,2018,Urban population (percent),,,60.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
8,Albania,2018,Capital city population (thousands),Tirana,,476,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2005,Urban population (percent),,,63.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2005,Urban population (percent growth rate per annum),,,2.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2005,Rural population (percent growth rate per annum),,,-0.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2005,Capital city population (thousands),Algiers,,2282,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2005,Capital city population (as a percentage of total population),Algiers,,6.9,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2005,Capital city population (as a percentage of total urban population),Algiers,,10.7,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2010,Urban population (percent),,,67.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2010,Urban population (percent growth rate per annum),,,2.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2010,Rural population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2010,Capital city population (thousands),Algiers,,2432,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2010,Capital city population (as a percentage of total population),Algiers,,6.7,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2010,Capital city population (as a percentage of total urban population),Algiers,,10,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2015,Urban population (percent),,,70.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2015,Urban population (percent growth rate per annum),,,2.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2015,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2015,Capital city population (thousands),Algiers,,2592,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2015,Capital city population (as a percentage of total population),Algiers,,6.5,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2015,Capital city population (as a percentage of total urban population),Algiers,,9.2,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2018,Urban population (percent),,,72.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
12,Algeria,2018,Capital city population (thousands),Algiers,,2694,Refers to the Governorate of Grand Algiers.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
16,American Samoa,2005,Urban population (percent),,,88.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
16,American Samoa,2005,Urban population (percent growth rate per annum),,,0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
16,American Samoa,2005,Rural population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
16,American Samoa,2010,Urban population (percent),,,87.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
16,American Samoa,2010,Urban population (percent growth rate per annum),,,-1.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
16,American Samoa,2010,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
16,American Samoa,2015,Urban population (percent),,,87.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
16,American Samoa,2015,Urban population (percent growth rate per annum),,,-0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
16,American Samoa,2015,Rural population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
16,American Samoa,2018,Urban population (percent),,,87.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
16,American Samoa,2018,Capital city population (thousands),Pago Pago,,49,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
20,Andorra,2005,Urban population (percent),,,90.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
20,Andorra,2005,Urban population (percent growth rate per annum),,,3.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
20,Andorra,2005,Rural population (percent growth rate per annum),,,8.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
20,Andorra,2010,Urban population (percent),,,88.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
20,Andorra,2010,Urban population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
20,Andorra,2010,Rural population (percent growth rate per annum),,,4.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
20,Andorra,2015,Urban population (percent),,,88.3,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
20,Andorra,2015,Urban population (percent growth rate per annum),,,-1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
20,Andorra,2015,Rural population (percent growth rate per annum),,,-0.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
20,Andorra,2018,Urban population (percent),,,88.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
20,Andorra,2018,Capital city population (thousands),Andorra la Vella,,23,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2005,Urban population (percent),,,56,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2005,Urban population (percent growth rate per annum),,,5.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2005,Rural population (percent growth rate per annum),,,0.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2005,Capital city population (thousands),Luanda,,3872,Refers to the urban population of the province of Luanda.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2005,Capital city population (as a percentage of total population),Luanda,,19.8,Refers to the urban population of the province of Luanda.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2005,Capital city population (as a percentage of total urban population),Luanda,,35.4,Refers to the urban population of the province of Luanda.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2010,Urban population (percent),,,59.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2010,Urban population (percent growth rate per annum),,,4.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2010,Rural population (percent growth rate per annum),,,1.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2010,Capital city population (thousands),Luanda,,5300,Refers to the urban population of the province of Luanda.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2010,Capital city population (as a percentage of total population),Luanda,,22.7,Refers to the urban population of the province of Luanda.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2010,Capital city population (as a percentage of total urban population),Luanda,,37.9,Refers to the urban population of the province of Luanda.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2015,Urban population (percent),,,63.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2015,Urban population (percent growth rate per annum),,,4.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2015,Rural population (percent growth rate per annum),,,1.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2015,Capital city population (thousands),Luanda,,7023,Refers to the urban population of the province of Luanda.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2015,Capital city population (as a percentage of total population),Luanda,,25.2,Refers to the urban population of the province of Luanda.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2015,Capital city population (as a percentage of total urban population),Luanda,,39.7,Refers to the urban population of the province of Luanda.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2018,Urban population (percent),,,65.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
24,Angola,2018,Capital city population (thousands),Luanda,,7774,Refers to the urban population of the province of Luanda.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
660,Anguilla,2005,Urban population (percent),,,100,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
660,Anguilla,2005,Urban population (percent growth rate per annum),,,2.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
660,Anguilla,2005,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
660,Anguilla,2010,Urban population (percent),,,100,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
660,Anguilla,2010,Urban population (percent growth rate per annum),,,1.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
660,Anguilla,2010,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
660,Anguilla,2015,Urban population (percent),,,100,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
660,Anguilla,2015,Urban population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
660,Anguilla,2015,Rural population (percent growth rate per annum),,,0,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
660,Anguilla,2018,Urban population (percent),,,100,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
660,Anguilla,2018,Capital city population (thousands),The Valley,,1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
28,Antigua and Barbuda,2005,Urban population (percent),,,29.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
28,Antigua and Barbuda,2005,Urban population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
28,Antigua and Barbuda,2005,Rural population (percent growth rate per annum),,,2.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
28,Antigua and Barbuda,2010,Urban population (percent),,,26.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
28,Antigua and Barbuda,2010,Urban population (percent growth rate per annum),,,-1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
28,Antigua and Barbuda,2010,Rural population (percent growth rate per annum),,,2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
28,Antigua and Barbuda,2015,Urban population (percent),,,25,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
28,Antigua and Barbuda,2015,Urban population (percent growth rate per annum),,,0.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
28,Antigua and Barbuda,2015,Rural population (percent growth rate per annum),,,1.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
28,Antigua and Barbuda,2018,Urban population (percent),,,24.6,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
28,Antigua and Barbuda,2018,Capital city population (thousands),Saint John's,,21,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2005,Urban population (percent),,,90,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2005,Urban population (percent growth rate per annum),,,1.3,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2005,Rural population (percent growth rate per annum),,,-0.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2005,Capital city population (thousands),Buenos Aires,,13330,Refers to Gran Buenos Aires.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2005,Capital city population (as a percentage of total population),Buenos Aires,,34.1,Refers to Gran Buenos Aires.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2005,Capital city population (as a percentage of total urban population),Buenos Aires,,37.8,Refers to Gran Buenos Aires.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2010,Urban population (percent),,,90.8,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2010,Urban population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2010,Rural population (percent growth rate per annum),,,-0.7,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2010,Capital city population (thousands),Buenos Aires,,14246,Refers to Gran Buenos Aires.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2010,Capital city population (as a percentage of total population),Buenos Aires,,34.6,Refers to Gran Buenos Aires.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2010,Capital city population (as a percentage of total urban population),Buenos Aires,,38,Refers to Gran Buenos Aires.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2015,Urban population (percent),,,91.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2015,Urban population (percent growth rate per annum),,,1.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2015,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2015,Capital city population (thousands),Buenos Aires,,14706,Refers to Gran Buenos Aires.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2015,Capital city population (as a percentage of total population),Buenos Aires,,33.9,Refers to Gran Buenos Aires.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2015,Capital city population (as a percentage of total urban population),Buenos Aires,,37,Refers to Gran Buenos Aires.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2018,Urban population (percent),,,91.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
32,Argentina,2018,Capital city population (thousands),Buenos Aires,,14967,Refers to Gran Buenos Aires.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2005,Urban population (percent),,,63.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2005,Urban population (percent growth rate per annum),,,-0.8,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2005,Rural population (percent growth rate per annum),,,-0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2005,Capital city population (thousands),Yerevan,,1087,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2005,Capital city population (as a percentage of total population),Yerevan,,36.5,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2005,Capital city population (as a percentage of total urban population),Yerevan,,57,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2010,Urban population (percent),,,63.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2010,Urban population (percent growth rate per annum),,,-0.9,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2010,Rural population (percent growth rate per annum),,,-0.4,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2010,Capital city population (thousands),Yerevan,,1066,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2010,Capital city population (as a percentage of total population),Yerevan,,37,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2010,Capital city population (as a percentage of total urban population),Yerevan,,58.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2015,Urban population (percent),,,63.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2015,Urban population (percent growth rate per annum),,,0.2,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2015,Rural population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2015,Capital city population (thousands),Yerevan,,1071,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2015,Capital city population (as a percentage of total population),Yerevan,,36.7,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2015,Capital city population (as a percentage of total urban population),Yerevan,,58.2,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2018,Urban population (percent),,,63.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
51,Armenia,2018,Capital city population (thousands),Yerevan,,1080,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
533,Aruba,2005,Urban population (percent),,,44.9,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
533,Aruba,2005,Urban population (percent growth rate per annum),,,1.1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
533,Aruba,2005,Rural population (percent growth rate per annum),,,2.6,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
533,Aruba,2010,Urban population (percent),,,43.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
533,Aruba,2010,Urban population (percent growth rate per annum),,,-0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
533,Aruba,2010,Rural population (percent growth rate per annum),,,1,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
533,Aruba,2015,Urban population (percent),,,43.1,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
533,Aruba,2015,Urban population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
533,Aruba,2015,Rural population (percent growth rate per annum),,,0.5,Data refers to a 5-year period preceding the reference year.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
533,Aruba,2018,Urban population (percent),,,43.4,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
533,Aruba,2018,Capital city population (thousands),Oranjestad,,30,,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2005,Urban population (percent),,,84.6,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2005,Urban population (percent growth rate per annum),,,1.3,"Data refers to a 5-year period preceding the reference year.;Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2005,Rural population (percent growth rate per annum),,,0.7,"Data refers to a 5-year period preceding the reference year.;Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2005,Capital city population (thousands),Canberra,,366,Refers to Significant Urban Areas as of 2001.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2005,Capital city population (as a percentage of total population),Canberra,,1.8,Refers to Significant Urban Areas as of 2001.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2005,Capital city population (as a percentage of total urban population),Canberra,,2.1,Refers to Significant Urban Areas as of 2001.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2010,Urban population (percent),,,85.2,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2010,Urban population (percent growth rate per annum),,,1.9,"Data refers to a 5-year period preceding the reference year.;Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2010,Rural population (percent growth rate per annum),,,1,"Data refers to a 5-year period preceding the reference year.;Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2010,Capital city population (thousands),Canberra,,398,Refers to Significant Urban Areas as of 2001.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2010,Capital city population (as a percentage of total population),Canberra,,1.8,Refers to Significant Urban Areas as of 2001.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2010,Capital city population (as a percentage of total urban population),Canberra,,2.1,Refers to Significant Urban Areas as of 2001.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2015,Urban population (percent),,,85.7,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2015,Urban population (percent growth rate per annum),,,1.6,"Data refers to a 5-year period preceding the reference year.;Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2015,Rural population (percent growth rate per annum),,,0.8,"Data refers to a 5-year period preceding the reference year.;Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
36,Australia,2015,Capital city population (thousands),Canberra,,429,Refers to Significant Urban Areas as of 2001.,"United Nations Population Division, New York, World Urbanization Prospects: The 2018 Revision, last accessed May 2018.",
