Region/Country/Area,,Year,Series,Value,Footnotes,Source,,
44,Bahamas,2015,International migrant stock: Both sexes (number),59241,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
44,Bahamas,2015,International migrant stock: Both sexes (% total population),15.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
44,Bahamas,2015,International migrant stock: Male (% total Population),16.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
44,Bahamas,2015,International migrant stock: Female (% total Population),15.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
44,Bahamas,2015,Total refugees and people in refugee-like situations (number),7,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
44,Bahamas,2015,"Asylum seekers, including pending cases (number)",19,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
44,Bahamas,2015,Other of concern to UNHCR (number),30,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
44,Bahamas,2015,Total population of concern to UNHCR (number),56,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
44,Bahamas,2016,Total refugees and people in refugee-like situations (number),11,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
44,Bahamas,2016,"Asylum seekers, including pending cases (number)",17,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
44,Bahamas,2016,Other of concern to UNHCR (number),97,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
44,Bahamas,2016,Total population of concern to UNHCR (number),125,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
44,Bahamas,2020,International migrant stock: Both sexes (number),63583,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
44,Bahamas,2020,International migrant stock: Both sexes (% total population),16.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
44,Bahamas,2020,International migrant stock: Male (% total Population),16.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
44,Bahamas,2020,International migrant stock: Female (% total Population),15.5,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
44,Bahamas,2020,Total refugees and people in refugee-like situations (number),13,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
44,Bahamas,2020,"Asylum seekers, including pending cases (number)",13,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
44,Bahamas,2020,Total population of concern to UNHCR (number),26,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
48,Bahrain,2005,International migrant stock: Both sexes (number),404018,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2005,International migrant stock: Both sexes (% total population),45.4,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2005,International migrant stock: Male (% total Population),54,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2005,International migrant stock: Female (% total Population),32.5,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2005,"Asylum seekers, including pending cases (number)",15,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
48,Bahrain,2005,Total population of concern to UNHCR (number),15,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
48,Bahrain,2010,International migrant stock: Both sexes (number),666406,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2010,International migrant stock: Both sexes (% total population),53.7,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2010,International migrant stock: Male (% total Population),62.2,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2010,International migrant stock: Female (% total Population),39.6,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2010,Total refugees and people in refugee-like situations (number),165,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
48,Bahrain,2010,"Asylum seekers, including pending cases (number)",69,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
48,Bahrain,2010,Total population of concern to UNHCR (number),234,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
48,Bahrain,2015,International migrant stock: Both sexes (number),722487,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2015,International migrant stock: Both sexes (% total population),52.7,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2015,International migrant stock: Male (% total Population),62.5,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2015,International migrant stock: Female (% total Population),36.7,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2015,Total refugees and people in refugee-like situations (number),277,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
48,Bahrain,2015,"Asylum seekers, including pending cases (number)",78,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
48,Bahrain,2015,Total population of concern to UNHCR (number),355,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
48,Bahrain,2020,International migrant stock: Both sexes (number),936094,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2020,International migrant stock: Both sexes (% total population),55,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2020,International migrant stock: Male (% total Population),63.1,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2020,International migrant stock: Female (% total Population),40.2,Including refugees.,Refers to foreign citizens.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",
48,Bahrain,2020,Total refugees and people in refugee-like situations (number),255,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
48,Bahrain,2020,"Asylum seekers, including pending cases (number)",57,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
48,Bahrain,2020,Total population of concern to UNHCR (number),312,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2005,International migrant stock: Both sexes (number),1062270,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2005,International migrant stock: Both sexes (% total population),0.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2005,International migrant stock: Male (% total Population),0.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2005,International migrant stock: Female (% total Population),0.7,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2005,Total refugees and people in refugee-like situations (number),21098,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2005,"Asylum seekers, including pending cases (number)",58,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2005,Other of concern to UNHCR (number),250094,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2005,Total population of concern to UNHCR (number),271250,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2010,International migrant stock: Both sexes (number),1345546,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2010,International migrant stock: Both sexes (% total population),0.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2010,International migrant stock: Male (% total Population),0.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2010,International migrant stock: Female (% total Population),0.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2010,Total refugees and people in refugee-like situations (number),229253,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2010,Total population of concern to UNHCR (number),229253,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2015,International migrant stock: Both sexes (number),1422179,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2015,International migrant stock: Both sexes (% total population),0.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2015,International migrant stock: Male (% total Population),0.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2015,International migrant stock: Female (% total Population),0.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2015,Total refugees and people in refugee-like situations (number),232975,"The refugee population includes 200,000 persons originating from Myanmar in a refugee-like situation. The Government of Bangladesh estimates the population to be between 300,000 and 500,000.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2015,"Asylum seekers, including pending cases (number)",11,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2015,Total population of concern to UNHCR (number),232986,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2017,Total refugees and people in refugee-like situations (number),307424,"The refugee population includes 274,000 persons originating from Myanmar in a refugee-like situation. The Government of Bangladesh estimates the population to be between 300,000 and 500,000.","United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2017,"Asylum seekers, including pending cases (number)",104,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2017,Other of concern to UNHCR (number),2,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2017,Total population of concern to UNHCR (number),307530,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2020,International migrant stock: Both sexes (number),2115408,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2020,International migrant stock: Both sexes (% total population),1.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2020,International migrant stock: Male (% total Population),1.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2020,International migrant stock: Female (% total Population),1.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
50,Bangladesh,2020,Total refugees and people in refugee-like situations (number),860435,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2020,"Asylum seekers, including pending cases (number)",28,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
50,Bangladesh,2020,Total population of concern to UNHCR (number),860463,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
52,Barbados,2005,International migrant stock: Both sexes (number),30624,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2005,International migrant stock: Both sexes (% total population),11.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2005,International migrant stock: Male (% total Population),10.2,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2005,International migrant stock: Female (% total Population),11.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2010,International migrant stock: Both sexes (number),32825,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2010,International migrant stock: Both sexes (% total population),11.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2010,International migrant stock: Male (% total Population),10.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2010,International migrant stock: Female (% total Population),12.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2015,International migrant stock: Both sexes (number),34475,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2015,International migrant stock: Both sexes (% total population),12.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2015,International migrant stock: Male (% total Population),11.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2015,International migrant stock: Female (% total Population),12.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2015,Total refugees and people in refugee-like situations (number),1,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
52,Barbados,2015,Total population of concern to UNHCR (number),1,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
52,Barbados,2019,Total refugees and people in refugee-like situations (number),1,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
52,Barbados,2019,"Asylum seekers, including pending cases (number)",8,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
52,Barbados,2019,Total population of concern to UNHCR (number),9,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
52,Barbados,2020,International migrant stock: Both sexes (number),34869,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2020,International migrant stock: Both sexes (% total population),12.1,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2020,International migrant stock: Male (% total Population),11.3,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2020,International migrant stock: Female (% total Population),12.9,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
52,Barbados,2020,"Asylum seekers, including pending cases (number)",8,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
52,Barbados,2020,Total population of concern to UNHCR (number),8,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2005,International migrant stock: Both sexes (number),1106982,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2005,International migrant stock: Both sexes (% total population),11.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2005,International migrant stock: Male (% total Population),11.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2005,International migrant stock: Female (% total Population),11.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2005,Total refugees and people in refugee-like situations (number),725,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2005,"Asylum seekers, including pending cases (number)",56,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2005,Other of concern to UNHCR (number),12421,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2005,Total population of concern to UNHCR (number),13202,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2010,International migrant stock: Both sexes (number),1090378,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2010,International migrant stock: Both sexes (% total population),11.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2010,International migrant stock: Male (% total Population),11.4,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2010,International migrant stock: Female (% total Population),11.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2010,Total refugees and people in refugee-like situations (number),589,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2010,"Asylum seekers, including pending cases (number)",66,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2010,Other of concern to UNHCR (number),7734,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2010,Total population of concern to UNHCR (number),8389,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2015,International migrant stock: Both sexes (number),1082905,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2015,International migrant stock: Both sexes (% total population),11.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2015,International migrant stock: Male (% total Population),11.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2015,International migrant stock: Female (% total Population),11.6,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2015,Total refugees and people in refugee-like situations (number),1369,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2015,"Asylum seekers, including pending cases (number)",257,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2015,Other of concern to UNHCR (number),6302,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2015,Total population of concern to UNHCR (number),7928,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2020,International migrant stock: Both sexes (number),1067090,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2020,International migrant stock: Both sexes (% total population),11.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2020,International migrant stock: Male (% total Population),11.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2020,International migrant stock: Female (% total Population),11.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
112,Belarus,2020,Total refugees and people in refugee-like situations (number),2828,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2020,"Asylum seekers, including pending cases (number)",105,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2020,Other of concern to UNHCR (number),6296,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
112,Belarus,2020,Total population of concern to UNHCR (number),9229,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2005,International migrant stock: Both sexes (number),1248733,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2005,International migrant stock: Both sexes (% total population),11.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2005,International migrant stock: Male (% total Population),12,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2005,International migrant stock: Female (% total Population),11.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2005,Total refugees and people in refugee-like situations (number),15282,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2005,"Asylum seekers, including pending cases (number)",18913,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2005,Other of concern to UNHCR (number),398,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2005,Total population of concern to UNHCR (number),34593,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2010,International migrant stock: Both sexes (number),1503806,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2010,International migrant stock: Both sexes (% total population),13.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2010,International migrant stock: Male (% total Population),13.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2010,International migrant stock: Female (% total Population),14,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2010,Total refugees and people in refugee-like situations (number),17892,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2010,"Asylum seekers, including pending cases (number)",18288,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2010,Other of concern to UNHCR (number),696,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2010,Total population of concern to UNHCR (number),36876,Data as at the end of December.,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2015,International migrant stock: Both sexes (number),1783488,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2015,International migrant stock: Both sexes (% total population),15.8,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2015,International migrant stock: Male (% total Population),15.7,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2015,International migrant stock: Female (% total Population),15.9,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2015,Total refugees and people in refugee-like situations (number),31115,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2015,"Asylum seekers, including pending cases (number)",9396,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2015,Other of concern to UNHCR (number),5267,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2015,Total population of concern to UNHCR (number),45778,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2020,International migrant stock: Both sexes (number),2005479,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2020,International migrant stock: Both sexes (% total population),17.3,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2020,International migrant stock: Male (% total Population),17.1,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2020,International migrant stock: Female (% total Population),17.5,,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
56,Belgium,2020,Total refugees and people in refugee-like situations (number),61193,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2020,"Asylum seekers, including pending cases (number)",26110,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2020,Other of concern to UNHCR (number),10933,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
56,Belgium,2020,Total population of concern to UNHCR (number),98236,,"United Nations High Commissioner for Refugees (UNHCR), Geneva, UNHCR Population Statistics Database, last accessed May 2021.",,
84,Belize,2005,International migrant stock: Both sexes (number),41438,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
84,Belize,2005,International migrant stock: Both sexes (% total population),14.6,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
84,Belize,2005,International migrant stock: Male (% total Population),14.8,Including refugees.,"United Nations Population Division, New York, International migrant stock: The 2020 Revision, last accessed January 2021.",,
