Country or Area,Year,Value,Value Footnotes,Unit
Trinidad and Tobago,2001,75.4000015258789,,%
Trinidad and Tobago,2000,74.1999969482422,,%
Trinidad and Tobago,1999,73,,%
Tunisia,2015,97.5999984741211,,%
Tunisia,2014,97.5,,%
Tunisia,2013,97.5,,%
Tunisia,2012,97.3000030517578,,%
Tunisia,2011,97.9000015258789,,%
Tunisia,2010,97.8000030517578,,%
Tunisia,2009,97.5999984741211,,%
Tunisia,2008,97.4000015258789,,%
Tunisia,2007,97.3000030517578,,%
Tunisia,2006,96.6999969482422,,%
Tunisia,2005,96.0999984741211,,%
Tunisia,2004,95.5999984741211,,%
Tunisia,2003,95,,%
Tunisia,2002,94.4000015258789,,%
Tunisia,2001,93.5999984741211,,%
Tunisia,2000,92.6999969482422,,%
Tunisia,1999,91.6999969482422,,%
Tunisia,1998,90.8000030517578,,%
Tunisia,1997,90,,%
Tunisia,1996,88.6999969482422,,%
Tunisia,1995,87.1999969482422,,%
Tunisia,1990,75.4000015258789,,%
Turkey,2014,97.4000015258789,,%
Turkey,2012,98.3000030517578,,%
Turkey,2010,98.3000030517578,,%
Turkey,2009,98.3000030517578,6,%
Turkey,2008,98.5999984741211,,%
Turkey,2007,81.5,6,%
Turkey,2006,81.6999969482422,,%
Turkey,2005,79.5999984741211,6,%
Turkey,2004,78.5,,%
Turkey,2003,76.5999984741211,,%
Turkey,2002,76.0999984741211,,%
Turkey,2001,74.8000030517578,,%
Turkey,2000,73.9000015258789,,%
Turkey,1995,69.9000015258789,,%
United Republic of Tanzania,2013,55.5999984741211,,%
United Republic of Tanzania,2008,55.4000015258789,,%
United Republic of Tanzania,2004,54.9000015258789,,%
United Republic of Tanzania,1990,54,,%
Uzbekistan,2015,81.4000015258789,18,%
Uzbekistan,2014,82.3000030517578,18,%
Uzbekistan,2013,82.5999984741211,18,%
Uzbekistan,2012,82.6999969482422,18,%
Uzbekistan,2011,82.6999969482422,18,%
Uzbekistan,2010,82.5,18,%
Uzbekistan,2009,82.5,18,%
Uzbekistan,2008,81.8000030517578,18,%
Uzbekistan,2007,82.1999969482422,18,%
Uzbekistan,2006,82.9000015258789,18,%
Uzbekistan,2005,82.5999984741211,18,%
Uzbekistan,2004,82.1999969482422,18,%
Venezuela (Bolivarian Republic of),2009,95,,%
Venezuela (Bolivarian Republic of),2008,94,,%
Venezuela (Bolivarian Republic of),2007,91.5999984741211,,%
Venezuela (Bolivarian Republic of),2006,90.9000015258789,,%
Venezuela (Bolivarian Republic of),2005,90,,%
Venezuela (Bolivarian Republic of),2004,89.3000030517578,,%
Venezuela (Bolivarian Republic of),2003,87,,%
Venezuela (Bolivarian Republic of),2002,85.8000030517578,,%
Venezuela (Bolivarian Republic of),2001,84.8000030517578,,%
Venezuela (Bolivarian Republic of),2000,83.6999969482422,,%
Viet Nam,2012,31.9699993133545,19,%
Viet Nam,2010,29.3500003814697,19,%
Viet Nam,2008,26.8199996948242,19,%
Viet Nam,2006,23.9699993133545,19,%
Viet Nam,2004,19.6200008392334,19,%
Viet Nam,2002,17.6200008392334,19,%
Yemen,2013,18.6000003814697,20,%
Yemen,2012,18.5,20,%
Yemen,2011,18.6000003814697,20,%
Yemen,2010,18.6000003814697,20,%
Yemen,2009,18.2000007629395,20,%
Yemen,2008,18.2000007629395,20,%
Yemen,2007,18,20,%
Yemen,2006,17,20,%
Yemen,2005,16.8999996185303,20,%
Yemen,2004,16.7000007629395,20,%
Yemen,2003,15.8999996185303,20,%
Yemen,2002,14.8000001907349,20,%
Yemen,2001,14.3999996185303,20,%
Yemen,2000,14.3000001907349,20,%
Yemen,1999,14,20,%
,,,,
fnSeqID,Footnote,,,
1,"The information corresponds to the National Census of Population and Housing 2012,  more specifically to the percentage of the population served with respect to the projected total population.",,,
2,"The information corresponds to the National Census of Population and Housing 2012, more precisely to the percentage of the population served with respect to the total population.",,,
3,"The information comes from the Household Survey, and corresponds to households supplied by a source of water through pipeline network, public pool and distribution car.",,,
4,"Estimated according to National Information System on Sewerage (Ministry of Cities, 2015) data",,,
5,"Estimated according to National Information System on Sewerage (Ministry of Cities, 2014) data",,,
6,Estimate.,,,
7,"The main sources of data for this indicator in Cabo Verde are household surveys and censuses. In this case, the main water sources used by the populations that we consider to be the water supply industry (ISIC 36) are: Water supply networks; Fountain (public terminal); and tank trucks. Populations whose main source of water is their 'neighbors (provided water comes from water systems) 'have not been taken into account.",,,
8,"Percentage of persons in occupied dwellings  with water from an aqueduct with respect to the total number of persons residing in occupied individual dwellings. Source: National Household Survey (ENAHO), National Institute of Statistics and Censuses (INEC), Costa Rican Institute of Aqueducts and Sewers (A and A), rural or municipal or utility companies.
1. Aqueduct of A and A: the water service comes from a public network administered by the A and A, which is the governing body of drinking water and sanitary sewerage. 2. Rural aqueduct: the water service comes from a public network managed by a Rural Aqueducts Management Committee and the Governing Associations of Rural Aqueducts and Sewers. 3. Municipal aqueduct: the water service is provided by the corresponding municipality. 4. Utility company or cooperative: select this option if the water service is supplied by a company.",,,
9,"Total subscribers of drinking water services (household uses and similar non-household uses from public establishments, businesses).",,,
10,"Refers to consumption in urban areas, managed by the National Office of Water and Electricity (ONEE-Water Branch).",,,
11,Provisional.,,,
12,It refers to the total population supplied by the industry according to the estimated total population.,,,
13,Estimated data.,,,
14,Population connected to public water supply.,,,
15,"Refers to proportion of population with access to improved water source (MDG indicator), which includes households not connected to ISIC 36 but abstract from wells at home.",,,
16,"This is data for all 10 districts and it data for  tap water at home, tapwater outdoors,  supplied with water tank/truck and bottled water.",,,
17,Population of Trinidad & tobago taken at 1.3 mil.,,,
18,The level of provision of apartments (houses) with drinking water.,,,
19,Data refer to percentage of households supplied by water supply industry.,,,
20,"These data on fresh water provided by the water supply industry are provided by the public institution only (the public network) and it is under the control of the government (public sector only), mostly in urban areas. They do not include the private network and the cooperative network. This applies to the proportion of the population supplied.",,,
